symbol,current_price,current_high,current_low,current_volume,recent_high,avg_volume,breakout_pct,volume_ratio,breakout_score
GMDCLTD,425.1,427.1,423.9,119410,420.95,3942.574666666667,1.46,30.29,9.97
GPIL,243.25,243.25,242.51,65490,239.56,4336.757333333333,1.54,15.1,5.45
FINCABLES,835.7,838.0,834.4,5603,828.45,367.272,1.15,15.26,5.34
CGPOWER,722.6,723.95,722.5,128023,699.75,21712.530666666666,3.46,5.9,3.45
HINDZINC,436.45,436.45,435.5,22271,431.0,3184.862666666667,1.26,6.99,2.9
CONCOR,538.25,539.25,537.7,17459,533.9,3831.1813333333334,1.0,4.56,2.07
EXIDEIND,403.75,404.4,403.6,21661,398.6,6188.493333333333,1.46,3.5,1.93
BIKAJI,803.65,805.0,802.7,1810,800.3,489.39733333333334,0.59,3.7,1.64
CREDITACC,1423.8,1424.4,1421.5,1972,1410.6,1211.9906666666666,0.98,1.63,1.18
BALRAMCHIN,579.85,580.4,579.05,19045,557.7,666.6266666666667,4.07,28.57,10.5
APOLLOTYRE,482.85,483.1,482.05,39463,471.5,2025.1528888888888,2.46,19.49,7.13
GMDCLTD,443.0,443.0,440.15,104851,435.0,9581.881777777779,1.84,10.94,4.32
CIEINDIA,406.55,406.65,405.15,2143,393.7,291.52711111111114,3.29,7.35,3.82
CENTURYPLY,781.65,782.45,780.45,1691,768.5,190.58577777777776,1.82,8.87,3.69
ELGIEQUIP,492.8,493.0,492.0,5144,487.1,692.5315555555555,1.21,7.43,3.01
GODREJAGRO,758.5,759.0,757.65,1403,749.75,218.13866666666667,1.23,6.43,2.72
HAVELLS,1604.7,1605.0,1601.8,12105,1577.1,2362.568,1.77,5.12,2.54
CGCL,191.97,192.1,191.8,24623,190.6,4878.76,0.79,5.05,2.13
CHENNPETRO,697.95,698.8,695.5,13686,692.0,2939.352888888889,0.98,4.66,2.09
DABUR,536.8,536.85,535.95,32595,524.55,11528.093333333334,2.34,2.83,2.09
CHAMBLFERT,559.8,559.95,559.15,5506,553.15,1662.2755555555555,1.23,3.31,1.79
GSFC,208.76,208.9,208.52,6552,205.5,2914.32,1.65,2.25,1.64
ENGINERSIN,204.32,204.4,203.65,24921,202.6,8402.448,0.89,2.97,1.55
GAIL,178.99,179.0,178.8,42806,176.16,21332.31111111111,1.61,2.01,1.55
GRINDWELL,1617.4,1617.4,1615.0,173,1599.0,68.07911111111112,1.15,2.54,1.52
COALINDIA,383.75,383.95,383.55,14972,378.6,7507.408,1.41,1.99,1.46
NESTLEIND,1187.5,1188.0,1186.0,4077,1176.0,1711.0266666666666,1.02,2.38,1.42
GRAPHITE,525.8,526.05,525.45,1346,522.0,600.1093333333333,0.78,2.24,1.28
GAEL,104.58,104.79,104.41,1193,103.8,608.776,0.95,1.96,1.27
FORTIS,934.7,935.9,934.35,6071,928.0,3572.352,0.85,1.7,1.15
CGPOWER,728.5,730.0,728.3,46774,726.2,26200.426666666666,0.52,1.79,1.04
EIHOTEL,413.4,413.7,412.2,13159,407.9,640.0008888888889,1.42,20.56,7.04
HINDCOPPER,245.02,245.9,244.6,67779,241.68,5561.552,1.75,12.19,4.65
DELHIVERY,480.2,481.2,480.1,20939,477.35,5141.387555555556,0.81,4.07,1.84
GLENMARK,1966.9,1969.6,1963.7,2855,1947.8,807.1013333333333,1.12,3.54,1.81
CGPOWER,754.4,754.4,752.05,57455,742.75,33600.922666666665,1.57,1.71,1.44
FINPIPE,220.3,220.5,220.11,5483,218.2,2445.2728888888887,1.05,2.24,1.39
FORTIS,944.4,945.0,944.05,5167,940.0,2752.5884444444446,0.53,1.88,1.08
BATAINDIA,1232.0,1232.9,1230.0,15360,1188.0,633.6328888888889,3.78,24.24,9.08
CAMPUS,284.3,284.9,284.3,14682,273.0,762.4942222222222,4.36,19.26,7.82
HEG,508.5,509.0,507.3,28453,498.0,1666.5297777777778,2.21,17.07,6.31
DEVYANI,180.93,180.98,180.6,53098,178.5,3183.941333333333,1.39,16.68,5.86
BBTC,1899.3,1905.0,1899.3,1173,1839.0,97.2808888888889,3.59,12.06,5.35
EMAMILTD,611.5,613.35,611.0,10410,605.3,946.5662222222222,1.33,11.0,4.13
NESTLEIND,1226.1,1228.3,1223.5,29402,1206.5,2866.1466666666665,1.81,10.26,4.1
GRAPHITE,536.35,538.0,536.0,8060,530.4,918.1182222222222,1.43,8.78,3.51
BAJFINANCE,934.0,934.0,933.25,33803,899.55,13859.157333333333,3.83,2.44,2.56
APLLTD,966.45,968.45,966.45,804,960.0,127.71733333333333,0.88,6.3,2.54
DABUR,565.3,565.8,565.05,23007,549.25,13763.928,3.01,1.67,2.01
ICICIPRULI,621.25,622.1,620.7,7108,616.15,1913.6151111111112,0.97,3.71,1.8
ICICIGI,1877.3,1881.9,1875.5,5859,1863.4,1697.128,0.99,3.45,1.73
BLUESTARCO,1983.8,1987.4,1983.8,1530,1969.3,874.648,0.92,1.75,1.19
AMBUJACEM,580.85,580.85,579.9,6834,576.95,3871.856888888889,0.68,1.77,1.1
INDHOTEL,786.0,786.0,785.35,7491,781.9,4472.323555555556,0.52,1.67,1.01
RTNINDIA,62.48,62.85,62.4,572581,61.72,12287.949333333334,1.83,46.6,15.01
USHAMART,387.6,387.6,385.75,5566,383.0,742.3626666666667,1.2,7.5,3.03
IDFCFIRSTB,73.17,73.24,73.1,121464,71.73,46274.02276064611,2.11,2.62,1.93
RBLBANK,275.8,276.0,275.7,40614,271.7,13257.858666666667,1.58,3.06,1.85
PVRINOX,1154.3,1156.0,1154.0,2863,1144.9,845.6133333333333,0.97,3.39,1.7
ZYDUSLIFE,1032.4,1032.75,1031.6,6154,1017.4,2762.9866666666667,1.51,2.23,1.57
LTF,232.24,232.71,232.24,40606,230.2,16162.850666666667,1.09,2.51,1.49
GLAND,1916.3,1918.6,1914.9,415,1903.9,161.88088235294117,0.77,2.56,1.38
